individual,observation_date,type,species,urban_gradient,temperature,light,condition,condition_sequence,light_2,start_line,finish_line,duration_from_light,duration_from_start,condition2
35,13/05/2024,Native,Leioproctus,Natural,32,white,32 / white,2,12.467,20.767,26.3,13.8,5.533,32 / white / Natural
35,13/05/2024,Native,Leioproctus,Natural,28,UV,28 / UV,4,9.267,,,,120,28 / UV / Natural
35,13/05/2024,Native,Leioproctus,Natural,28,white,28 / white,3,7.9,47.833,56.367,48.433,8.534,28 / white / Natural
36,13/05/2024,Native,Exoneura,Natural,32,UV,32 / UV,2,17.3,18.467,27.3,10.033,8.833,32 / UV / Natural
36,13/05/2024,Native,Exoneura,Natural,32,white,32 / white,1,5.233,,,,120,32 / white / Natural
36,13/05/2024,Native,Exoneura,Natural,28,UV,28 / UV,3,2.9,4.2,10.033,7.133,5.833,28 / UV / Natural
36,13/05/2024,Native,Exoneura,Natural,28,white,28 / white,4,6.733,13.833,58.867,52.134,45.034,28 / white / Natural
37,13/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,UV,32 / UV,1,3.3,4.467,8.4,5.133,3.933,32 / UV / Natural
37,13/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,white,32 / white,2,4.567,21.867,43.067,38.5,21.2,32 / white / Natural
37,13/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,UV,28 / UV,3,4.133,21.733,38.4,34.234,16.667,28 / UV / Natural
37,13/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,white,28 / white,4,8.1,8.933,80.567,72.4,71.634,28 / white / Natural
38,13/05/2024,Native,Leioproctus,Natural,32,UV,32 / UV,2,3.033,4.6,8.333,5.3,3.733,32 / UV / Natural
38,13/05/2024,Native,Leioproctus,Natural,32,white,32 / white,1,5.3,7.233,14.233,8.9,7,32 / white / Natural
38,13/05/2024,Native,Leioproctus,Natural,28,UV,28 / UV,4,20.433,53.8,70.967,50.567,17.167,28 / UV / Natural
38,13/05/2024,Native,Leioproctus,Natural,28,white,28 / white,3,12.767,30.733,38.633,25.866,7.9,28 / white / Natural
39,14/05/2024,Native,Lasioglossum (Homalictus),Natural,32,UV,32 / UV,2,21.333,32.333,38.567,17.267,6.234,32 / UV / Natural
39,14/05/2024,Native,Lasioglossum (Homalictus),Natural,32,white,32 / white,1,13.167,33.2,75.9,62.766,42.7,32 / white / Natural
39,14/05/2024,Native,Lasioglossum (Homalictus),Natural,28,UV,28 / UV,3,15.3,16.167,41.333,26.033,25.166,28 / UV / Natural
39,14/05/2024,Native,Lasioglossum (Homalictus),Natural,28,white,28 / white,4,13.1,33.067,83.933,70.833,50.866,28 / white / Natural
40,15/05/2024,Honeybees,Apis mellifera,Natural,32,UV,32 / UV,2,14.767,21.9,34.833,12.933,20.033,32 / UV / Natural
40,15/05/2024,Honeybees,Apis mellifera,Natural,32,white,32 / white,1,13.133,19.533,25.733,6.2,12.6,32 / white / Natural
40,15/05/2024,Honeybees,Apis mellifera,Natural,28,UV,28 / UV,3,6.067,7.867,13.433,5.566,7.366,28 / UV / Natural
40,15/05/2024,Honeybees,Apis mellifera,Natural,28,white,28 / white,4,18.067,20.767,26.2,5.433,8.1,28 / white / Natural
41,15/05/2024,Honeybees,Apis mellifera,Natural,32,UV,32 / UV,1,11.067,15.6,25.667,10.067,14.533,32 / UV / Natural
41,15/05/2024,Honeybees,Apis mellifera,Natural,32,white,32 / white,2,14.233,16.967,26.1,9.133,12,32 / white / Natural
41,15/05/2024,Honeybees,Apis mellifera,Natural,28,UV,28 / UV,4,13.633,14.067,48.067,34,34.5,28 / UV / Natural
41,15/05/2024,Honeybees,Apis mellifera,Natural,28,white,28 / white,3,6.433,7.567,11.533,3.966,5.134,28 / white / Natural
42,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,UV,32 / UV,2,9.4,18.833,33.567,14.734,24.133,32 / UV / Natural
42,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,32,white,32 / white,1,21.667,,,,120,32 / white / Natural
42,15/05/2024,Native,Lasioglossum (Chilalictus),Natural,28,UV,28 / UV,3,5.567,49.567,62.633,13.066,57.033,28 / UV / Natural
